"","eventid","iyear","imonth","iday","nkill","nwound","country_txt","gname","gsubname","gname2","gsubname2"
"59",200406180001,2004,6,18,1,0,"Saudi Arabia","Al-Qaida in the Arabian Peninsula (AQAP)",NA,NA,NA
"60",200408260006,2004,8,26,1,6,"Pakistan","Al-Qaida",NA,NA,NA
"61",200408280004,2004,8,28,2,5,"Pakistan","Al-Qaida",NA,NA,NA
"62",200410240001,2004,10,24,50,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"63",200410250001,2004,10,25,3,19,"Iraq","Al-Qaida in Iraq",NA,"Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq)",NA
"64",200410270002,2004,10,27,1,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"65",200412030007,2004,12,3,13,NA,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"66",200412070001,2004,12,6,9,5,"Saudi Arabia","Al-Qaida in the Arabian Peninsula (AQAP)",NA,NA,NA
"67",200412140001,2004,12,14,2,12,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"68",200412200001,2004,12,20,0,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"69",200412230001,2004,12,23,1,1,"Pakistan","Al-Qaida",NA,NA,NA
"70",200412290001,2004,12,29,8,90,"Saudi Arabia","Al-Qaida in Saudi Arabia",NA,NA,NA
"71",200501040002,2005,1,4,2,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"72",200501100006,2005,1,10,2,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"73",200501110002,2005,1,11,8,8,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"74",200501200002,2005,1,20,3,NA,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"75",200501210006,2005,1,21,12,23,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"76",200502040001,2005,2,4,0,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"77",200502070005,2005,2,7,12,7,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"78",200502080001,2005,2,8,21,27,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"79",200502120002,2005,2,12,18,21,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"80",200502190002,2005,2,19,3,NA,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"81",200503020004,2005,3,2,7,2,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"82",200503030001,2005,3,3,9,7,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"83",200503070002,2005,3,7,16,23,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"84",200503070003,2005,3,7,11,NA,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"85",200503140006,2005,3,14,0,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"86",200503200004,2005,3,20,4,2,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"87",200504100004,2005,4,10,1,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"88",200504140001,2005,4,14,20,24,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"89",200504150003,2005,4,15,1,5,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"90",200504230001,2005,4,23,10,20,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"91",200504240003,2005,4,24,6,26,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"92",200504300001,2005,4,30,3,6,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"93",200504300007,2005,4,30,3,10,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"94",200505010004,2005,5,1,4,12,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"95",200505020005,2005,5,2,3,6,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"96",200505060007,2005,5,6,NA,NA,"Iraq","Al-Qaida in Iraq","Al-Bara bin Malek Jihad Brigades",NA,NA
"97",200505070007,2005,5,7,22,35,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"98",200505100007,2005,5,10,1,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"99",200505120007,2005,5,12,15,NA,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"100",200505120009,2005,5,12,1,99,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"101",200505180008,2005,5,18,1,2,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"102",200505230002,2005,5,23,2,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"103",200505290013,2005,5,29,11,12,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"104",200505300002,2005,5,30,34,108,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"105",200505300005,2005,5,30,27,128,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"106",200506010001,2005,6,1,21,52,"Afghanistan","Al-Qaida",NA,NA,NA
"107",200506110001,2005,6,11,1,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"108",200506130001,2005,6,13,3,NA,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"109",200506190002,2005,6,19,23,NA,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"110",200507010002,2005,7,1,5,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"111",200507010004,2005,7,1,2,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"112",200507020001,2005,7,2,20,21,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"113",200507020002,2005,7,2,8,26,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"114",200507020006,2005,7,2,0,9,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"115",200507020007,2005,7,2,0,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"116",200507050002,2005,7,5,0,1,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"117",200507050003,2005,7,5,0,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"118",200507070001,2005,7,7,8,171,"United Kingdom","Al-Qaida",NA,NA,NA
"119",200507070002,2005,7,7,27,340,"United Kingdom","Al-Qaida",NA,NA,NA
"120",200507070003,2005,7,7,7,163,"United Kingdom","Al-Qaida",NA,NA,NA
"121",200507070004,2005,7,7,14,110,"United Kingdom","Al-Qaida",NA,NA,NA
"122",200507070005,2005,7,7,1,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"123",200507100001,2005,7,10,25,47,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"124",200507110002,2005,7,11,12,NA,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"125",200507110004,2005,7,11,2,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"126",200507140007,2005,7,14,3,13,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"127",200507160007,2005,7,16,8,20,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"128",200507190001,2005,7,19,3,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"129",200507210002,2005,7,21,0,0,"United Kingdom","Al-Qaida",NA,NA,NA
"130",200507210003,2005,7,21,2,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"131",200507210006,2005,7,21,0,0,"United Kingdom","Al-Qaida",NA,NA,NA
"132",200507210007,2005,7,21,0,0,"United Kingdom","Al-Qaida",NA,NA,NA
"133",200507210008,2005,7,21,0,0,"United Kingdom","Al-Qaida",NA,NA,NA
"134",200507290007,2005,7,29,44,57,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"135",200508230004,2005,8,23,8,20,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"136",200509140001,2005,9,14,160,542,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"137",200509160006,2005,9,16,4,3,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"138",200509170001,2005,9,17,30,38,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"139",200509250005,2005,9,25,10,12,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"140",200509280002,2005,9,28,6,30,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"141",200510180003,2005,10,0,1,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"142",200510310003,2005,10,31,12,NA,"Yemen","Al-Qaida in Yemen",NA,"Houthi extremists (Ansar Allah)",NA
"143",200511050001,2005,11,5,8,NA,"Pakistan","Al-Qaida",NA,NA,NA
"144",200511090002,2005,11,9,20,34,"Jordan","Al-Qaida in Iraq",NA,NA,NA
"145",200511090003,2005,11,9,20,33,"Jordan","Al-Qaida in Iraq",NA,NA,NA
"146",200511090004,2005,11,9,21,33,"Jordan","Al-Qaida in Iraq",NA,NA,NA
"147",200511100001,2005,11,10,35,25,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"148",200512060004,2005,12,6,36,72,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"149",200512140002,2005,12,14,0,0,"Sweden","Al-Qaida Organization for Jihad in Sweden",NA,NA,NA
"150",200512290001,2005,12,29,0,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"151",200601090001,2006,1,9,2,15,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"152",200602030004,2006,2,3,0,1,"Bangladesh","Al-Qaida Network for Southwestern Khulna Division",NA,NA,NA
"153",200602030005,2006,2,3,0,0,"Bangladesh","Al-Qaida Network for Southwestern Khulna Division",NA,NA,NA
"154",200602060003,2006,2,6,0,0,"Afghanistan","Al-Qaida",NA,NA,NA
"155",200602220004,2006,2,22,0,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"156",200602240009,2006,2,24,4,8,"Saudi Arabia","Al-Qaida in the Arabian Peninsula (AQAP)",NA,NA,NA
"157",200604070001,2006,4,7,90,NA,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"158",200606030001,2006,6,3,1,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"159",200606110001,2006,6,11,6,59,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"160",200609180004,2006,9,18,11,18,"Somalia","Al-Qaida",NA,NA,NA
"161",200611100004,2006,11,10,9,4,"Pakistan","Al-Qaida",NA,NA,NA
"162",200701230001,2007,1,23,0,0,"West Bank and Gaza Strip","Al-Qaida",NA,"Hamas (Islamic Resistance Movement)",NA
"163",200701270005,2007,1,27,1,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"164",200701280007,2007,1,28,0,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"165",200701300008,2007,1,30,15,NA,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"166",200702010006,2007,2,1,0,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"167",200702020008,2007,2,2,0,2,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"168",200702060001,2007,2,6,1,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"169",200702080009,2007,2,8,0,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"170",200702130001,2007,2,13,1,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"171",200702130002,2007,2,13,0,4,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"172",200702130003,2007,2,13,4,8,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"173",200702130004,2007,2,13,0,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"174",200702130005,2007,2,13,2,3,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"175",200702130006,2007,2,13,0,14,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"176",200702200012,2007,2,20,0,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"177",200702210010,2007,2,21,0,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"178",200702280009,2007,2,28,0,2,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"179",200702280010,2007,2,28,0,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"180",200702280011,2007,2,28,0,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"181",200702280012,2007,2,28,0,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"182",200703030002,2007,3,3,4,5,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)","Group of Sermons and Struggle",NA,NA
"183",200703040003,2007,3,4,9,1,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"184",200703160001,2007,3,16,2,2,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"185",200703160002,2007,3,16,2,100,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"186",200703160003,2007,3,16,1,250,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"187",200703220005,2007,3,22,0,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"188",200703230001,2007,3,23,8,18,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"189",200703280007,2007,3,28,0,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"190",200704020010,2007,4,2,3,7,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"191",200704070004,2007,4,7,15,5,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"192",200704110001,2007,4,11,30,160,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"193",200704120001,2007,4,12,8,20,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"194",200704130009,2007,4,13,2,2,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)","Group of Sermons and Struggle",NA,NA
"195",200704140001,2007,4,14,2,1,"Morocco","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"196",200704160004,2007,4,16,0,2,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"197",200704170007,2007,4,17,0,1,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"198",200704180001,2007,4,18,127,148,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"199",200704240007,2007,4,24,1,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)","Ezzane katibat",NA,NA
"200",200704250007,2007,4,25,1,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"201",200705070004,2007,5,7,19,11,"Iraq","Al-Qaida Kurdish Battalions (AQKB)",NA,NA,NA
"202",200705130002,2007,5,14,2,3,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"203",200705150004,2007,5,15,0,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)","Aibed-Errahmane katibat",NA,NA
"204",200705160001,2007,5,16,1,2,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)","Group of Sermons and Struggle",NA,NA
"205",200705190005,2007,5,19,16,NA,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"206",200705270004,2007,5,27,0,1,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"207",200705290002,2007,5,29,0,2,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"208",200706010004,2007,6,1,3,4,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"209",200706020001,2007,6,2,0,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"210",200706020008,2007,6,2,1,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"211",200706020020,2007,6,2,1,10,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"212",200706020021,2007,6,2,1,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"213",200706040049,2007,6,4,0,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"214",200706060041,2007,6,6,0,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"215",200706070011,2007,6,7,3,7,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"216",200706080001,2007,6,8,15,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"217",200706090001,2007,6,9,15,30,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"218",200706110001,2007,6,11,1,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"219",200706130002,2007,6,13,0,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"220",200706210001,2007,6,21,18,66,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"221",200706210005,2007,6,21,0,1,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)","El Ansar phalange",NA,NA
"222",200706300003,2007,6,30,1,2,"United Kingdom","Al-Qaida in Iraq",NA,NA,NA
"223",200707000001,2007,7,0,1,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"224",200707020002,2007,7,2,1,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"225",200707030001,2007,7,3,9,0,"Yemen","Al-Qaida in Yemen",NA,NA,NA
"226",200707030002,2007,7,3,1,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"227",200707050018,2007,7,5,0,1,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)","Group of Sermons and Struggle",NA,NA
"228",200707110002,2007,7,11,11,35,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"229",200707110007,2007,7,11,1,1,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)","Group of Sermons and Struggle",NA,NA
"230",200707140001,2007,7,14,25,26,"Pakistan","Al-Qaida",NA,NA,NA
"231",200707200007,2007,7,20,0,1,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"232",200708140003,2007,8,14,3,8,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"233",200708140005,2007,8,14,0,1,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"234",200708150005,2007,8,14,250,750,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"235",200708160008,2007,8,14,250,750,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"236",200708190001,2007,8,19,0,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"237",200708240037,2007,8,24,3,9,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"238",200709030002,2007,9,3,0,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"239",200709030009,2007,9,3,6,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"240",200709040001,2007,9,4,18,35,"Pakistan","Al-Qaida",NA,NA,NA
"241",200709060002,2007,9,6,16,74,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"242",200709070004,2007,9,7,1,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"243",200709080006,2007,9,8,30,47,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"244",200709120005,2007,9,12,0,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"245",200709130002,2007,9,14,3,NA,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"246",200709140001,2007,9,14,3,5,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"247",200709160002,2007,9,16,14,NA,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"248",200709200007,2007,9,20,1,1,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"249",200709210003,2007,9,21,1,9,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"250",200709240006,2007,9,24,20,30,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"251",200709240012,2007,9,24,1,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"252",200709260003,2007,9,26,2,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)","Les Issers brigade",NA,NA
"253",200710010020,2007,10,1,0,3,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"254",200710040019,2007,10,4,0,2,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)","El-Ansar katibat",NA,NA
"255",200710290012,2007,10,29,1,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"256",200711060018,2007,11,6,1,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"257",200711120008,2007,11,12,10,NA,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"258",200711120009,2007,11,12,10,NA,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"259",200711160004,2007,11,16,1,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"260",200711170015,2007,11,17,6,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"261",200711180004,2007,11,18,7,7,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"262",200711220001,2007,11,22,14,NA,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"263",200711220017,2007,11,22,22,2,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"264",200711220018,2007,11,22,22,2,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"265",200711230011,2007,11,23,2,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"266",200711260013,2007,11,26,1,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"267",200711260014,2007,11,26,4,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"268",200711300002,2007,11,30,5,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"269",200712110010,2007,12,11,20,84,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"270",200712110011,2007,12,11,19,83,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)",NA,NA,NA
"271",200712150002,2007,12,15,5,0,"Iraq","Al-Qaida in Iraq",NA,NA,NA
"272",200712260002,2007,12,26,0,0,"Algeria","Al-Qaida in the Islamic Maghreb (AQIM)","Group of Sermons and Struggle",NA,NA
